OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Diptera	Stratiomyidae				97.81	415	11	11	97.35	0.00	457.73	34.77	0
OTU2	Arthropoda	Insecta	Mantodea	Mantoididae		Mantoida	Mantoida brunneriana	94.09	265	7	7	97.36	0.00	458.09	33.87	0
OTU3	Arthropoda	Insecta	Lepidoptera	Tineidae				97.80	227	15	15	93.39	0.00	456.87	33.53	0
OTU4	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Ostha	Ostha Janzen249	90.77	176	5	5	97.16	0.00	456.82	35.23	0
OTU5	Arthropoda	Insecta	Hemiptera	Cicadidae	Cicadinae	Fidicina	Fidicina mannifera	97.81	134	5	5	96.27	0.00	457.93	32.15	0
OTU6								0.00	133	6	1	95.49	83.33	458.92	26.46	0
OTU7								0.00	109	2	1	98.17	50.00	457.64	36.71	0
OTU8								0.00	87	4	1	95.40	75.00	457.39	36.4	0
OTU9	Arthropoda	Insecta	Lepidoptera	Tineidae	Acrolophinae	acroBioLep01	acroBioLep01 BioLep18	94.97	84	3	3	96.43	0.00	457.64	35.85	0
OTU10								0.00	75	4	1	94.67	75.00	457.77	33.86	0
OTU11								0.00	72	2	1	97.22	50.00	457.82	35.17	0
OTU12	Arthropoda	Insecta	Lepidoptera	Limacodidae				94.93	62	4	4	93.55	0.00	456.92	29.76	0
OTU13	Arthropoda	Insecta	Diptera					96.25	58	2	2	96.55	0.00	457.91	39.53	0
OTU14	Arthropoda	Insecta	Lepidoptera					94.96	57	6	6	89.47	0.00	457.58	29.46	0
OTU15	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Herminodes	Herminodes juvenalisDHJ02	97.81	55	4	4	92.73	0.00	456.98	32.62	0
OTU16	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Rutelinae	Pelidnota	Pelidnota notata	96.49	45	5	5	88.89	0.00	454.13	39.52	0
OTU17	Arthropoda	Insecta	Coleoptera	Staphylinidae	Aleocharinae			95.69	44	7	7	84.09	0.00	389.43	33.93	0
OTU18	Arthropoda	Insecta	Lepidoptera	Crambidae	Crambinae	Myelobia	Myelobia BioLep654	92.06	42	5	2	88.10	60.00	449.6	32.76	0
OTU19	Arthropoda	Insecta	Coleoptera	Chrysomelidae	Galerucinae			91.47	41	2	2	95.12	0.00	457.56	33.66	0
OTU20	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae			93.65	38	2	2	94.74	0.00	457.87	30.36	0
OTU21	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	chryBioLep01	chryBioLep01 BioLep1004	96.93	37	4	4	89.19	0.00	458.16	32.56	0
OTU22	Arthropoda	Insecta	Neuroptera	Mantispidae	Mantispinae	Leptomantispa	Leptomantispa antillesensis	91.90	35	2	2	94.29	0.00	457.86	31.67	0
OTU23	Arthropoda	Insecta	Lepidoptera	Erebidae				95.61	32	3	3	90.63	0.00	458.91	29.08	0
OTU24	Arthropoda	Insecta	Lepidoptera					96.91	29	2	2	93.10	0.00	456.83	33.49	0
OTU25	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Melolonthinae	Phyllophaga	Phyllophaga densata	92.15	28	2	2	92.86	0.00	457.79	39.32	0
OTU27	Arthropoda	Insecta	Lepidoptera	Depressariidae	Depressariinae	Gonada	Gonada cabima	96.93	27	4	4	85.19	0.00	456.93	32.17	0
OTU26	Arthropoda	Insecta	Diptera	Cecidomyiidae				93.00	27	1	1	96.30	0.00	458	25.55	0
OTU28	Arthropoda	Insecta	Coleoptera	Carabidae				94.29	26	2	2	92.31	0.00	457.81	31.24	0
OTU30	Arthropoda	Insecta	Coleoptera	Ptinidae				96.48	25	2	2	92.00	0.00	458	35.11	0
OTU29								0.00	25	2	1	92.00	50.00	458.2	41.29	0
OTU31	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae			90.59	23	1	1	95.65	0.00	458	31	0
OTU34	Arthropoda	Insecta	Diptera	Ceratopogonidae	Ceratopogoninae	Culicoides		94.71	22	2	2	90.91	0.00	458	34.65	0
OTU35								0.00	22	3	1	86.36	66.67	456.95	42.08	0
OTU32								0.00	22	2	1	90.91	50.00	458	35.26	0
OTU33	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Stenoma		96.04	22	2	2	90.91	0.00	458.23	33.17	0
OTU38	Arthropoda	Insecta	Lepidoptera	Depressariidae				94.51	21	3	3	85.71	0.00	457.9	33.17	0
OTU36								0.00	21	3	1	85.71	66.67	457.48	37.38	0
OTU37								0.00	21	2	1	90.48	50.00	458.71	33.73	0
OTU39								0.00	19	2	1	89.47	50.00	458.16	33.08	0
OTU40								0.00	19	1	1	94.74	0.00	458	35.81	0
OTU43								0.00	17	1	1	94.12	0.00	458	35.15	0
OTU42	Arthropoda	Insecta	Coleoptera	Tenebrionidae				97.87	17	1	1	94.12	0.00	458	34.28	0
OTU41	Arthropoda	Insecta	Diptera	Phoridae				92.11	17	1	1	94.12	0.00	458	32.31	0
OTU45	Arthropoda	Insecta	Diptera					95.81	16	1	1	93.75	0.00	458	24.45	0
OTU44	Arthropoda	Insecta	Lepidoptera	Elachistidae	Agonoxeninae	agoMalaise01	agoMalaise01 Malaise5228	93.44	16	1	1	93.75	0.00	458	33.41	0
OTU47	Arthropoda	Insecta	Hemiptera	Derbidae	Derbinae	Omolicna	Omolicna latens	94.75	15	2	2	86.67	0.00	457.67	34.23	0
OTU46								0.00	15	1	1	93.33	0.00	458	38.21	0
OTU49	Arthropoda	Insecta	Diptera					95.59	14	2	2	85.71	0.00	458.36	40.66	0
OTU48	Arthropoda	Insecta	Coleoptera	Lycidae				97.70	14	2	2	85.71	0.00	457.43	37.16	0
OTU50								0.00	14	2	1	85.71	50.00	458	33.92	0
OTU51	Arthropoda	Insecta	Lepidoptera	Erebidae				96.71	13	1	1	92.31	0.00	458	32.31	0
OTU52								0.00	12	2	1	83.33	50.00	457.5	34.97	0
OTU53	Arthropoda	Insecta	Diptera	Cecidomyiidae				90.11	12	1	1	91.67	0.00	458	27.07	0
OTU54								0.00	12	1	1	91.67	0.00	458	37.12	0
OTU55	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Sanys	Sanys Poole01	91.25	12	2	2	83.33	0.00	457.58	31.91	0
OTU56	Arthropoda	Insecta	Diptera	Cecidomyiidae				97.12	11	2	2	81.82	0.00	457.55	26.35	0
OTU58								0.00	10	1	1	90.00	0.00	449	24.05	0
OTU59	Arthropoda	Insecta	Lepidoptera	Erebidae	Boletobiinae	Prosoparia	Prosoparia tenebrosa	91.03	10	1	1	90.00	0.00	458	38.21	0
OTU57								0.00	10	1	1	90.00	0.00	458	36.24	0
OTU61								0.00	9	1	1	88.89	0.00	458	35.37	0
OTU60	Arthropoda	Insecta	Lepidoptera	Gelechiidae		gelMalaise01	gelMalaise01 Malaise8081	94.75	9	1	1	88.89	0.00	458	27.95	0
OTU63								0.00	9	1	1	88.89	0.00	458	29.48	0
OTU62								0.00	9	1	1	88.89	0.00	458	37.77	0
OTU65	Arthropoda	Insecta	Blattodea	Ectobiidae				90.37	9	1	1	88.89	0.00	458	37.55	0
OTU64	Arthropoda	Insecta	Diptera	Phoridae	Metopininae	Metopina		97.94	9	1	1	88.89	0.00	458	38.43	0
OTU66	Arthropoda	Insecta	Diptera					96.48	9	1	1	88.89	0.00	458	35.15	0
OTU67	Arthropoda	Insecta	Coleoptera	Laemophloeidae				94.74	8	1	1	87.50	0.00	458	36.68	0
OTU69								0.00	8	1	1	87.50	0.00	458	35.81	0
OTU68	Arthropoda	Insecta	Lepidoptera	Geometridae	Sterrhinae	Idaea		96.50	8	1	1	87.50	0.00	458	32.53	0
OTU72	Arthropoda	Insecta	Lepidoptera	Tineidae		tinBioLep01	tinBioLep01 BioLep5482	95.88	8	1	1	87.50	0.00	458	32.31	0
OTU73								0.00	8	1	1	87.50	0.00	458	35.37	0
OTU70	Arthropoda	Insecta	Diptera	Phoridae	Metopininae	Nothomicrodon	Nothomicrodon sp. 1 GS-2016	90.81	8	1	1	87.50	0.00	458	32.53	0
OTU71	Arthropoda	Insecta	Lepidoptera	Depressariidae		elachJanzen01	elachJanzen01 Janzen557	94.09	8	1	1	87.50	0.00	458	32.75	0
OTU80								0.00	7	1	1	85.71	0.00	458	43.23	0
OTU76	Arthropoda	Insecta	Lepidoptera					96.04	7	1	1	85.71	0.00	457	30.85	0
OTU77	Arthropoda	Insecta	Diptera	Phoridae	Metopininae	Nothomicrodon	Nothomicrodon sp. 1 GS-2016	90.81	7	1	1	85.71	0.00	458	32.53	0
