Sample,OTU,Classification,Taxon Similarity,Sequences
ARM1AWET,OTU1,Arthropoda;Insecta;Coleoptera;Scarabaeidae;Rutelinae;Trizogeniates;Trizogeniates foveicollis,97.59,435
ARM1AWET,OTU2,Arthropoda;Insecta;Coleoptera;Scarabaeidae;Melolonthinae;Phyllophaga;Phyllophaga morganellaASolis02,97.95,307
ARM1AWET,OTU3,;;;;;;,0,244
ARM1AWET,OTU4,Arthropoda;Insecta;Hemiptera;Cicadidae;Cicadinae;Fidicina;Fidicina mannifera,97.81,225
ARM1AWET,OTU5,Arthropoda;Insecta;Lepidoptera;Erebidae;Calpinae;Herminodes;Herminodes Poole09,96.27,202
ARM1AWET,OTU6,;;;;;;,0,134
ARM1AWET,OTU7,Arthropoda;Insecta;Coleoptera;Scarabaeidae;Rutelinae;Callistethus;Callistethus schneideri,96.71,129
ARM1AWET,OTU8,;;;;;;,0,119
ARM1AWET,OTU9,Arthropoda;Insecta;Lepidoptera;Pyralidae;Chrysauginae;Lophopleura;Lophopleura eurzonalis,95.62,118
ARM1AWET,OTU10,Arthropoda;Insecta;Lepidoptera;Tineidae;;;,97.8,117
ARM1AWET,OTU11,Arthropoda;Insecta;Coleoptera;Scarabaeidae;Rutelinae;Callistethus;Callistethus sp,97.59,105
ARM1AWET,OTU12,Arthropoda;Insecta;Psocodea;Psocidae;;;,92.01,99
ARM1AWET,OTU13,;;;;;;,0,92
ARM1AWET,OTU14,;;;;;;,0,82
ARM1AWET,OTU15,;;;;;;,0,70
ARM1AWET,OTU16,Arthropoda;Insecta;Coleoptera;Staphylinidae;Aleocharinae;;,95.69,63
ARM1AWET,OTU17,Arthropoda;Insecta;Coleoptera;Staphylinidae;Aleocharinae;;,96.47,41
ARM1AWET,OTU18,;;;;;;,0,34
ARM1AWET,OTU19,Arthropoda;Insecta;Coleoptera;Chrysomelidae;Galerucinae;;,91.47,33
ARM1AWET,OTU20,Arthropoda;Insecta;Lepidoptera;Gelechiidae;Dichomeridinae;Dichomeris;Dichomeris Janzen376,96.05,29
ARM1AWET,OTU21,Arthropoda;Insecta;Psocodea;Psocidae;;;,97.93,29
ARM1AWET,OTU22,;;;;;;,0,28
ARM1AWET,OTU24,Arthropoda;Insecta;Lepidoptera;Depressariidae;Depressariinae;Gonada;Gonada cabima,96.93,27
ARM1AWET,OTU23,Arthropoda;Insecta;Lepidoptera;Crambidae;Spilomelinae;Conchylodes;Conchylodes grammaphora,91.25,27
ARM1AWET,OTU25,Arthropoda;Insecta;Lepidoptera;Noctuidae;;;,92.32,24
ARM1AWET,OTU27,Arthropoda;Insecta;Coleoptera;Scarabaeidae;Rutelinae;Pelidnota;Pelidnota notata,96.49,24
ARM1AWET,OTU26,;;;;;;,0,24
ARM1AWET,OTU29,Arthropoda;Insecta;Lepidoptera;Erebidae;Calpinae;Goniohelia;Goniohelia pangraptica,97.81,20
