OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1								0.00	214	3	1	98.60	66.67	119.85	22.58	0
OTU2								0.00	60	2	1	96.67	50.00	123.85	23.42	0
OTU3								0.00	51	3	1	94.12	66.67	108.9	27.64	0
OTU4	Arthropoda	Insecta	Diptera					96.25	49	2	2	95.92	0.00	457.9	39.53	0
OTU5	Arthropoda	Insecta	Lepidoptera	Notodontidae	Heterocampinae	Disphragis	Disphragis exarmata	91.06	35	1	1	97.14	0.00	139	30.94	0
OTU6								0.00	26	3	1	88.46	66.67	457.77	32.93	0
OTU7								0.00	19	2	1	89.47	50.00	457.63	33.87	0
OTU8								0.00	16	2	1	87.50	50.00	192.56	37.91	0
OTU9	Arthropoda	Insecta	Lepidoptera	Depressariidae				95.18	13	2	2	84.62	0.00	458	34.62	0
OTU10	Arthropoda	Insecta	Trichoptera	Hydropsychidae	Macronematinae	Leptonema	Leptonema sp. gmycC51	97.81	12	1	1	91.67	0.00	458	38.65	0
OTU11								0.00	11	2	1	81.82	50.00	216.55	36.48	0
OTU12								0.00	10	1	1	90.00	0.00	458	30.79	0
OTU13								0.00	8	1	1	87.50	0.00	458	35.15	0
OTU14								0.00	5	1	1	80.00	0.00	193	36.79	0
