OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1								0.00	297	8	1	97.31	87.50	457.57	36.28	0
OTU2	Arthropoda	Insecta	Orthoptera					91.03	165	8	8	95.15	0.00	457.5	34.09	0
OTU3								0.00	136	6	1	95.59	83.33	190.93	36.14	0
OTU4	Arthropoda	Insecta	Hemiptera	Pentatomidae	Discocephalinae	Ablaptus	Ablaptus brevirostrum	91.68	111	6	6	94.59	0.00	457.52	34.55	0
OTU5								0.00	78	1	1	98.72	0.00	117	26.5	0
OTU6								0.00	68	2	1	97.06	50.00	136.87	37.26	0
OTU7								0.00	62	8	1	87.10	87.50	458.26	34.02	0
OTU8								0.00	55	2	1	96.36	50.00	106.89	27.13	0
OTU9	Arthropoda	Insecta	Lepidoptera	Limacodidae				94.93	45	7	7	84.44	0.00	240.16	30.78	0
OTU10								0.00	41	2	1	95.12	50.00	140.12	38.62	0
OTU11	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Stenoma	Stenoma sp.	96.93	29	2	2	93.10	0.00	457.83	30.58	0
OTU12	Arthropoda	Insecta	Lepidoptera	Erebidae	Herminiinae	Lascoria	Lascoria sp.	94.09	21	1	1	95.24	0.00	458	30.79	0
OTU13	Arthropoda	Insecta	Mantodea	Mantoididae		Mantoida	Mantoida brunneriana	94.09	14	2	2	85.71	0.00	457.57	33.87	0
OTU14								0.00	10	1	1	90.00	0.00	263	28.52	0
OTU15								0.00	9	1	1	88.89	0.00	191	37.17	0
OTU16								0.00	8	1	1	87.50	0.00	354	36.72	0
OTU17								0.00	8	1	1	87.50	0.00	458	33.84	0
OTU18								0.00	6	1	1	83.33	0.00	278	29.14	0
OTU19								0.00	6	1	1	83.33	0.00	133	33.83	0
OTU21	Arthropoda	Insecta	Lepidoptera	Crambidae	Crambinae	Diatraea	Diatraea saccharalis	95.85	6	1	1	83.33	0.00	458	32.31	0
OTU20	Arthropoda	Insecta	Lepidoptera	Erebidae	Herminiinae	Zanclognatha		90.20	6	1	1	83.33	0.00	459	31.59	0
OTU22	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01 BioLep929	96.49	6	1	1	83.33	0.00	458	30.35	0
OTU24	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	Euprosterna	Euprosterna hosia	97.81	5	1	1	80.00	0.00	459	30.28	0
OTU23								0.00	5	1	1	80.00	0.00	458	30.79	0
