OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1								0.00	1043	13	1	98.75	92.31	457.46	38.71	0
OTU2								0.00	268	20	1	92.54	95.00	445.33	37.32	0
OTU3								0.00	167	4	1	97.60	75.00	106.8	27.16	0
OTU4								0.00	44	2	1	95.45	50.00	457.39	38.48	0
OTU5								0.00	33	3	1	90.91	66.67	457.36	37.5	0
OTU6								0.00	21	2	1	90.48	50.00	457.76	37.14	0
OTU7								0.00	14	1	1	92.86	0.00	128	28.91	0
OTU8	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	Paragonia	Paragonia crurariaDHJ06	97.81	13	2	2	84.62	0.00	457.62	29.72	0
OTU10								0.00	11	1	1	90.91	0.00	458	30.79	0
OTU9								0.00	11	1	1	90.91	0.00	179	35.75	0
OTU11								0.00	10	1	1	90.00	0.00	458	38.21	0
OTU14	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	Paragonia	Paragonia crurariaDHJ06	96.49	8	1	1	87.50	0.00	458	30.79	0
OTU12	Arthropoda	Insecta	Lepidoptera	Crambidae	Spilomelinae	Desmia	Desmia sp. 16YB	91.98	8	1	1	87.50	0.00	162	30.86	0
OTU13	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	Paragonia	Paragonia crurariaDHJ06	96.49	8	1	1	87.50	0.00	457	30.63	0
OTU15	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	Paragonia	Paragonia crurariaDHJ06	97.59	7	1	1	85.71	0.00	458	30.57	0
OTU16	Arthropoda	Insecta	Diptera	Tachinidae	Exoristinae	Chrysoexorista	Chrysoexorista Malaise8446	92.21	7	1	1	85.71	0.00	155	32.9	0
OTU17	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	Paragonia	Paragonia sp. 5YB	97.15	6	1	1	83.33	0.00	458	29.69	0
OTU18	Arthropoda	Insecta	Lepidoptera					95.14	6	1	1	83.33	0.00	457	30.85	0
OTU19	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	Paragonia	Paragonia crurariaDHJ06	97.15	6	1	1	83.33	0.00	458	30.35	0
OTU20								0.00	6	1	1	83.33	0.00	156	32.69	0
OTU25	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Antaeotricha	Antaeotricha Janzen197	92.78	5	1	1	80.00	0.00	458	32.1	0
OTU24	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	Paragonia	Paragonia crurariaDHJ06	95.19	5	1	1	80.00	0.00	458	31.66	0
OTU21	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	Paragonia	Paragonia crurariaDHJ06	97.36	5	1	1	80.00	0.00	456	31.14	0
OTU23	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	Paragonia	Paragonia crurariaDHJ06	97.58	5	1	1	80.00	0.00	457	30.42	0
OTU22								0.00	5	1	1	80.00	0.00	458	33.84	0
