OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Hemiptera	Fulgoridae		Pterodictya	Pterodictya reticularis	91.85	295	11	11	96.27	0.00	457.58	33.43	0
OTU2								0.00	121	2	1	98.35	50.00	121.89	29.53	0
OTU3								0.00	91	2	1	97.80	50.00	106.9	31.81	0
OTU4								0.00	46	1	1	97.83	0.00	107	29.91	0
OTU5	Arthropoda	Insecta	Orthoptera					90.81	25	4	2	84.00	50.00	458.92	35.08	0
OTU6								0.00	22	1	1	95.45	0.00	107	27.1	0
OTU7								0.00	20	2	1	90.00	50.00	127.75	28.96	0
OTU8								0.00	18	2	1	88.89	50.00	121.72	27.93	0
OTU9								0.00	17	1	1	94.12	0.00	103	36.89	0
OTU10								0.00	15	1	1	93.33	0.00	120	26.67	0
OTU11	Arthropoda	Insecta	Lepidoptera	Pyralidae	Chrysauginae	chryBioLep01	chryBioLep01 BioLep788	97.15	14	2	2	85.71	0.00	457.64	32.78	0
OTU12	Arthropoda	Insecta	Coleoptera	Curculionidae	Platypodinae	Euplatypus	Euplatypus sp. 5YB	96.19	13	1	1	92.31	0.00	136	34.56	0
OTU13	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	Episcepsis	Episcepsis venata	90.37	12	1	1	91.67	0.00	458	29.91	0
OTU14	Arthropoda	Insecta	Diptera					96.25	9	1	1	88.89	0.00	458	39.52	0
OTU15								0.00	8	1	1	87.50	0.00	458	32.97	0
OTU16								0.00	8	1	1	87.50	0.00	458	37.12	0
OTU17								0.00	6	1	1	83.33	0.00	128	29.69	0
OTU18								0.00	6	1	1	83.33	0.00	458	31	0
OTU19	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae	phyBioLep01	phyBioLep01 BioLep929	96.27	6	1	1	83.33	0.00	458	30.13	0
OTU21								0.00	5	1	1	80.00	0.00	156	32.69	0
OTU20								0.00	5	1	1	80.00	0.00	457	33.48	0
