OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1	Arthropoda	Insecta	Orthoptera	Tettigoniidae	Phaneropterinae	Ceraia	Ceraia mytra	97.92	461	9	9	98.05	0.00	457.9	39.31	0
OTU2								0.00	124	6	1	95.16	83.33	458.4	32.09	0
OTU3								0.00	32	1	1	96.88	0.00	191	36.13	0
OTU4								0.00	29	2	1	93.10	50.00	457.62	33.79	0
OTU5	Arthropoda	Insecta	Trichoptera	Hydropsychidae	Macronematinae	Leptonema	Leptonema sp. gmycC51	97.81	18	3	3	83.33	0.00	457.67	38.54	0
OTU6	Arthropoda	Insecta	Diptera					96.25	16	1	1	93.75	0.00	458	39.52	0
OTU7								0.00	13	1	1	92.31	0.00	186	37.1	0
OTU8	Arthropoda	Insecta	Lepidoptera	Crambidae	Scopariinae	Eudonia	Eudonia stenota	90.57	9	1	1	88.89	0.00	457	28.67	0
OTU9	Arthropoda	Insecta	Lepidoptera	Pyralidae	Phycitinae			96.05	6	1	1	83.33	0.00	458	30.13	0
OTU10	Arthropoda	Insecta	Orthoptera	Tettigoniidae	Phaneropterinae	Ceraia	Ceraia mytra	96.43	6	1	1	83.33	0.00	458	39.08	0
OTU11	Arthropoda	Insecta	Lepidoptera	Thyrididae	Siculodinae	Hypolamprus	Hypolamprus stellata	97.59	5	1	1	80.00	0.00	458	30.57	0
