OTU	Phylum	Class	Order	Family	Subfamily	Genus	Species	Taxon Similarity	Sequences	Dereplicates	PreClusters	Dereplication Reduction (%)	Preclustering Reduction (%)	Length	GC Composition	MID
OTU1								0.00	81	3	1	96.30	66.67	106.84	27.14	0
OTU2								0.00	72	3	1	95.83	66.67	457.78	32.97	0
OTU3	Arthropoda	Insecta	Trichoptera	Hydropsychidae	Macronematinae	Leptonema	Leptonema sp. gmycC51	97.81	62	6	6	90.32	0.00	457.85	38.66	0
OTU4								0.00	42	3	1	92.86	66.67	457.76	34.08	0
OTU5	Arthropoda	Insecta	Lepidoptera	Depressariidae	Stenomatinae	Stenoma	Stenoma phillipsEPR34	95.39	33	4	4	87.88	0.00	457.45	32.54	0
OTU6								0.00	26	1	1	96.15	0.00	156	32.69	0
OTU7								0.00	17	2	1	88.24	50.00	251.65	42.12	0
OTU8								0.00	15	2	1	86.67	50.00	457.33	33.6	0
OTU9								0.00	13	2	1	84.62	50.00	458	37.42	0
OTU10								0.00	11	1	1	90.91	0.00	252	40.87	0
OTU11	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	Goniohelia	Goniohelia pangraptica	97.81	10	1	1	90.00	0.00	458	30.57	0
OTU12								0.00	10	1	1	90.00	0.00	458	32.31	0
OTU13	Arthropoda	Insecta	Hemiptera					94.51	9	1	1	88.89	0.00	458	34.28	0
OTU14								0.00	7	1	1	85.71	0.00	105	25.71	0
OTU15	Arthropoda	Insecta	Lepidoptera	Noctuidae		noctuidBioAlfa01	noctuidBioAlfa01 BioAlfa323	95.40	6	1	1	83.33	0.00	458	31.22	0
OTU21	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Scarabaeinae	Copris	Copris brevicornis	97.80	5	1	1	80.00	0.00	459	33.33	0
OTU16	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	Oxydia	Oxydia sinuosaDHJ02	97.37	5	1	1	80.00	0.00	458	32.31	0
OTU17	Arthropoda	Insecta	Lepidoptera	Gelechiidae		geleBioLep01	geleBioLep01 BioLep1180	91.68	5	1	1	80.00	0.00	458	31.44	0
OTU20	Arthropoda	Insecta	Coleoptera	Scarabaeidae	Scarabaeinae	Copris	Copris brevicornis	97.59	5	1	1	80.00	0.00	458	33.62	0
OTU18	Arthropoda	Insecta	Lepidoptera	Tortricidae	Olethreutinae	Pelochrista	Pelochrista fuscostriata	93.65	5	1	1	80.00	0.00	126	32.54	0
OTU19	Arthropoda	Insecta	Lepidoptera					96.25	5	1	1	80.00	0.00	458	31.66	0
