"classification","Sequences"
"p__Arthropoda;c__Arachnida;o__Araneae;f__Anyphaenidae;Sf__NA;g__NA;s__NA",17
"p__Arthropoda;c__Arachnida;o__Araneae;f__Cheiracanthiidae;Sf__NA;g__Eutichurus;s__Eutichurus sp. 1 FML",25
"p__Arthropoda;c__Arachnida;o__Mesostigmata;f__Oplitidae;Sf__NA;g__NA;s__NA",61
"p__Arthropoda;c__Arachnida;o__Trombidiformes;f__Erythraeidae;Sf__NA;g__NA;s__NA",1889
"p__Arthropoda;c__Insecta;o__Blattodea;f__Blaberidae;Sf__NA;g__NA;s__NA",1358
"p__Arthropoda;c__Insecta;o__Blattodea;f__Cryptocercidae;Sf__NA;g__NA;s__NA",76
"p__Arthropoda;c__Insecta;o__Blattodea;f__Ectobiidae;Sf__NA;g__NA;s__NA",7557
"p__Arthropoda;c__Insecta;o__Blattodea;f__Kalotermitidae;Sf__NA;g__Neotermes;s__Neotermes holmgreni",12
"p__Arthropoda;c__Insecta;o__Blattodea;f__NA;Sf__NA;g__NA;s__NA",1361
"p__Arthropoda;c__Insecta;o__Blattodea;f__Termitidae;Sf__Apicotermitinae;g__OvitermesRHS;s__OvitermesRHS seani",531
"p__Arthropoda;c__Insecta;o__Blattodea;f__Termitidae;Sf__Apicotermitinae;g__Patawatermes;s__Patawatermes nigripunctatus",55
"p__Arthropoda;c__Insecta;o__Blattodea;f__Termitidae;Sf__Termitinae;g__Amitermes;s__Amitermes foreli",38
"p__Arthropoda;c__Insecta;o__Blattodea;f__Termitidae;Sf__Termitinae;g__Cylindrotermes;s__Cylindrotermes macrognathus",6
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Anthicidae;Sf__NA;g__NA;s__NA",5
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Biphyllidae;Sf__NA;g__NA;s__NA",76
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Cantharidae;Sf__NA;g__NA;s__NA",77
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;Sf__Harpalinae;g__Abaris;s__Abaris splendidula",8
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;Sf__Harpalinae;g__Cymindis;s__Cymindis arizonensis",6
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;Sf__Harpalinae;g__NA;s__NA",11
