"classification","Sequences"
"p__Arthropoda;c__Arachnida;o__Scorpiones;f__Buthidae;sf__NA;g__Centruroides;s__Centruroides vittatus",5
"p__Arthropoda;c__Insecta;o__Blattodea;f__Blaberidae;sf__NA;g__NA;s__NA",789
"p__Arthropoda;c__Insecta;o__Blattodea;f__NA;sf__NA;g__NA;s__NA",346
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Buprestidae;sf__Buprestinae;g__Chrysobothris;s__Chrysobothris femorata",31
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;sf__Harpalinae;g__Lebia;s__Lebia cruxminor",7
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;sf__NA;g__NA;s__NA",31
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;sf__Paussinae;g__NA;s__NA",35
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Cerophytidae;sf__NA;g__NA;s__NA",11
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;sf__NA;g__NA;s__NA",37
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;sf__Platypodinae;g__Euplatypus;s__Euplatypus sp. 5YB",2759
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Elateridae;sf__Elaterinae;g__Orthostethus;s__Orthostethus infuscatus",11
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Hydrophilidae;sf__NA;g__NA;s__NA",164
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Melyridae;sf__Malachiinae;g__Attalus;s__Attalus pallifrons",604
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Rhipiceridae;sf__NA;g__NA;s__NA",11174
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Scarabaeidae;sf__Dynastinae;g__Cyclocephala;s__Cyclocephala sp. 13YB",728
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Scarabaeidae;sf__NA;g__NA;s__NA",12
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Scarabaeidae;sf__Rutelinae;g__Anomala;s__NA",16
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Scarabaeidae;sf__Scarabaeinae;g__Copris;s__Copris brevicornis",17
"p__Arthropoda;c__Insecta;o__Diptera;f__Calliphoridae;sf__NA;g__NA;s__NA",407
"p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;sf__Chironominae;g__Chironomus;s__Chironomus sp. 3",5
"p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;sf__NA;g__NA;s__NA",11
"p__Arthropoda;c__Insecta;o__Diptera;f__Chloropidae;sf__Chloropinae;g__Steleocerellus;s__Steleocerellus sp. 2",942
"p__Arthropoda;c__Insecta;o__Diptera;f__Chloropidae;sf__NA;g__NA;s__NA",5
"p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;sf__Culicinae;g__Culex;s__Culex sp. 6 HY-2020",191
"p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;sf__Chioneinae;g__Erioptera;s__Erioptera villosa",8
"p__Arthropoda;c__Insecta;o__Diptera;f__Milichiidae;sf__Phyllomyzinae;g__Phyllomyza;s__NA",6
"p__Arthropoda;c__Insecta;o__Diptera;f__Muscidae;sf__NA;g__NA;s__NA",63
"p__Arthropoda;c__Insecta;o__Diptera;f__Mycetophilidae;sf__Mycomyinae;g__Mycomya;s__NA",5
"p__Arthropoda;c__Insecta;o__Diptera;f__NA;sf__NA;g__NA;s__NA",1294
"p__Arthropoda;c__Insecta;o__Diptera;f__Phoridae;sf__Phorinae;g__Dohrniphora;s__Dohrniphora ecitophila",47
"p__Arthropoda;c__Insecta;o__Diptera;f__Tachinidae;sf__Exoristinae;g__Chrysoexorista;s__Chrysoexorista Malaise8446",7
"p__Arthropoda;c__Insecta;o__Diptera;f__Tachinidae;sf__Exoristinae;g__Zizyphomyia;s__Zizyphomyia Wood02",8
"p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae;sf__NA;g__NA;s__NA",51
"p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadidae;sf__NA;g__NA;s__NA",1795
"p__Arthropoda;c__Insecta;o__Hemiptera;f__Coreidae;sf__NA;g__NA;s__NA",139
"p__Arthropoda;c__Insecta;o__Hemiptera;f__Flatidae;sf__Flatinae;g__Epormenis;s__Epormenis aripensis",5
"p__Arthropoda;c__Insecta;o__Hemiptera;f__Fulgoridae;sf__NA;g__Pterodictya;s__Pterodictya reticularis",15616
"p__Arthropoda;c__Insecta;o__Hemiptera;f__NA;sf__NA;g__NA;s__NA",1215
"p__Arthropoda;c__Insecta;o__Hemiptera;f__Pentatomidae;sf__Discocephalinae;g__Ablaptus;s__Ablaptus brevirostrum",482
"p__Arthropoda;c__Insecta;o__Hemiptera;f__Pentatomidae;sf__Edessinae;g__Edessa;s__Edessa arabs",23
"p__Arthropoda;c__Insecta;o__Hemiptera;f__Pentatomidae;sf__Edessinae;g__Edessa;s__Edessa sp7",26
"p__Arthropoda;c__Insecta;o__Hemiptera;f__Pentatomidae;sf__NA;g__NA;s__NA",64
"p__Arthropoda;c__Insecta;o__Hemiptera;f__Rhyparochromidae;sf__NA;g__NA;s__NA",27
"p__Arthropoda;c__Insecta;o__Hymenoptera;f__Halictidae;sf__Halictinae;g__Megalopta;s__Megalopta genalis",10
"p__Arthropoda;c__Insecta;o__Hymenoptera;f__Vespidae;sf__Polistinae;g__Apoica;s__Apoica pallida",5
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Attevidae;sf__NA;g__Atteva;s__Atteva pustulella",5
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;sf__Crambinae;g__Chilo;s__Chilo suppressalis",5
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;sf__Crambinae;g__Diatraea;s__Diatraea saccharalis",18
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;sf__Scopariinae;g__Eudonia;s__Eudonia stenota",37
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;sf__Spilomelinae;g__Desmia;s__Desmia sp. 16YB",8
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;sf__Spilomelinae;g__Eulepte;s__Eulepte sp. 1YB",5
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;sf__Spilomelinae;g__Omiodes;s__Omiodes poeonalis",279
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;sf__Spilomelinae;g__Prenesta;s__Prenesta sp. 1YB",5
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;sf__Spilomelinae;g__Spilomelinae_genus;s__Spilomelinae_genus sp. 60YB",21
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;sf__NA;g__NA;s__NA",1113
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;sf__NA;g__elachBioLep01;s__elachBioLep01 BioLep5405",15
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;sf__NA;g__elachJanzen01;s__elachJanzen01 Janzen211",17
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;sf__Stenomatinae;g__Antaeotricha;s__Antaeotricha Janzen197",10
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;sf__Stenomatinae;g__Antaeotricha;s__Antaeotricha Janzen245",15
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;sf__Stenomatinae;g__Antaeotricha;s__Antaeotricha fascicularis",5
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;sf__Stenomatinae;g__Antaeotricha;s__NA",54
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;sf__Stenomatinae;g__Chlamydastis;s__Chlamydastis phytoptera",5
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;sf__Stenomatinae;g__NA;s__NA",223
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;sf__Stenomatinae;g__Stenoma;s__NA",15
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;sf__Stenomatinae;g__Stenoma;s__Stenoma phillipsEPR34",56
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;sf__Stenomatinae;g__Stenoma;s__Stenoma sp.",246
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Elachistidae;sf__Elachistinae;g__Elachista;s__NA",11
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Arctiinae;g__Acridopsis;s__Acridopsis sp. AAJ0944",10
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Arctiinae;g__Amaxia;s__Amaxia carinosa",18
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Arctiinae;g__Amaxia;s__Amaxia rocioecheverriae",117
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Arctiinae;g__Episcepsis;s__Episcepsis venata",149
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Arctiinae;g__Hypocharis;s__Hypocharis sp. 1YB",33
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Arctiinae;g__Melese;s__Melese sixola",5
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Arctiinae;g__Nevrolongus;s__Nevrolongus thysbodes",25
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Arctiinae;g__Psoloptera;s__Psoloptera thoracica",11
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Arctiinae;g__Thyretes;s__Thyretes sp.",7
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Boletobiinae;g__Prosoparia;s__Prosoparia tenebrosa",10
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Calpinae;g__Chamyna;s__Chamyna sp. 1YB",8
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Calpinae;g__Goniohelia;s__Goniohelia pangraptica",35
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Calpinae;g__Herminodes;s__Herminodes juvenalisDHJ02",28
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Calpinae;g__Ostha;s__Ostha Janzen249",419
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Calpinae;g__Triommatodes;s__Triommatodes mapiriensis",109
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Catocalinae;g__Dialithis;s__Dialithis gemmifera",12
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Erebinae;g__Bulia;s__Bulia sp.",8
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Erebinae;g__Erebus;s__Erebus crepuscularis",5
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Eulepidotinae;g__Antiblemma;s__Antiblemma Poole41",5
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Herminiinae;g__Lascoria;s__Lascoria sp.",104
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Herminiinae;g__Renia;s__Renia turpis",5
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Herminiinae;g__Zanclognatha;s__NA",6
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Herminiinae;g__Zanclognatha;s__Zanclognatha fumosa",24
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__Lymantriinae;g__Desmoloma;s__Desmoloma sp. PL1",12
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__NA;g__NA;s__NA",10
"p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;sf__NA;g__erebidBioLep01;s__erebidBioLep01 BioLep736",15
