"classification","Sequences"
"p__Arthropoda;c__Arachnida;o__Araneae;f__Anyphaenidae;sf__NA;g__NA;s__NA",17
"p__Arthropoda;c__Arachnida;o__Araneae;f__Cheiracanthiidae;sf__NA;g__Eutichurus;s__Eutichurus sp. 1 FML",25
"p__Arthropoda;c__Arachnida;o__Mesostigmata;f__Oplitidae;sf__NA;g__NA;s__NA",61
"p__Arthropoda;c__Arachnida;o__Scorpiones;f__Buthidae;sf__NA;g__Centruroides;s__Centruroides vittatus",5
"p__Arthropoda;c__Arachnida;o__Trombidiformes;f__Erythraeidae;sf__NA;g__NA;s__NA",1889
"p__Arthropoda;c__Insecta;o__Blattodea;f__Blaberidae;sf__NA;g__NA;s__NA",2147
"p__Arthropoda;c__Insecta;o__Blattodea;f__Cryptocercidae;sf__NA;g__NA;s__NA",76
"p__Arthropoda;c__Insecta;o__Blattodea;f__Ectobiidae;sf__NA;g__NA;s__NA",7557
"p__Arthropoda;c__Insecta;o__Blattodea;f__Kalotermitidae;sf__NA;g__Neotermes;s__Neotermes holmgreni",12
"p__Arthropoda;c__Insecta;o__Blattodea;f__NA;sf__NA;g__NA;s__NA",1707
"p__Arthropoda;c__Insecta;o__Blattodea;f__Termitidae;sf__Apicotermitinae;g__OvitermesRHS;s__OvitermesRHS seani",531
"p__Arthropoda;c__Insecta;o__Blattodea;f__Termitidae;sf__Apicotermitinae;g__Patawatermes;s__Patawatermes nigripunctatus",55
"p__Arthropoda;c__Insecta;o__Blattodea;f__Termitidae;sf__Termitinae;g__Amitermes;s__Amitermes foreli",38
"p__Arthropoda;c__Insecta;o__Blattodea;f__Termitidae;sf__Termitinae;g__Cylindrotermes;s__Cylindrotermes macrognathus",6
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Anthicidae;sf__NA;g__NA;s__NA",5
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Biphyllidae;sf__NA;g__NA;s__NA",76
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Buprestidae;sf__Buprestinae;g__Chrysobothris;s__Chrysobothris femorata",31
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Cantharidae;sf__NA;g__NA;s__NA",77
"p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;sf__Harpalinae;g__Abaris;s__Abaris splendidula",8
