"bin_uri","classification","sampleId","sequences"
"BOLD:AAA0030","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Psilocorsis;s__Psilocorsis Janzen900","BIOLOT#39872",1
"BOLD:AAA0081","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__unclassified Lepidoptera, Depressariidae;g__lepJanzen01, Stenoma;s__lepJanzen01 Janzen01, Stenoma Janzen148","BIOLOT#39866",2
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731","BIOLOT#39864",1
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731","BIOLOT#39865",41
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731","BIOLOT#39867",3
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731","BIOLOT#39868",1
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731","BIOLOT#39869",1
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731","BIOLOT#39872",1
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731","BIOLOT#39873",27
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731","BIOLOT#39875",49
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731","BIOLOT#39876",88
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731","BIOLOT#39877",12
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731","BIOLOT#39878",202
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731","BIOLOT#39881",1
"BOLD:AAA0107","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae, Erebidae;g__Dichomeris;s__Dichomeris Janzen76","BIOLOT#39874",3
"BOLD:AAA0118","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen99, Antaeotricha Janzen321, Antaeotricha Janzen545","BIOLOT#39867",1
"BOLD:AAA0118","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen99, Antaeotricha Janzen321, Antaeotricha Janzen545","BIOLOT#39873",56
"BOLD:AAA0138","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__gelJanzen01;s__gelJanzen01 Janzen467","BIOLOT#39865",51
"BOLD:AAA0138","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__gelJanzen01;s__gelJanzen01 Janzen467","BIOLOT#39869",22
"BOLD:AAA0138","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__gelJanzen01;s__gelJanzen01 Janzen467","BIOLOT#39870",1
"BOLD:AAA0138","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__gelJanzen01;s__gelJanzen01 Janzen467","BIOLOT#39871",1
"BOLD:AAA0160","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__Anacampsis;s__Anacampsis Janzen287","BIOLOT#39864",20
"BOLD:AAA0160","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__Anacampsis;s__Anacampsis Janzen287","BIOLOT#39866",2
"BOLD:AAA0160","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__Anacampsis;s__Anacampsis Janzen287","BIOLOT#39867",8
"BOLD:AAA0160","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__Anacampsis;s__Anacampsis Janzen287","BIOLOT#39872",17
"BOLD:AAA0160","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__Anacampsis;s__Anacampsis Janzen287","BIOLOT#39873",9
"BOLD:AAA0160","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__Anacampsis;s__Anacampsis Janzen287","BIOLOT#39874",14
"BOLD:AAA0160","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__Anacampsis;s__Anacampsis Janzen287","BIOLOT#39875",35
"BOLD:AAA0160","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__Anacampsis;s__Anacampsis Janzen287","BIOLOT#39882",1
"BOLD:AAA0168","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__gelJanzen01;s__gelJanzen01 Janzen377","BIOLOT#39864",1
"BOLD:AAA0168","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__gelJanzen01;s__gelJanzen01 Janzen377","BIOLOT#39869",2
"BOLD:AAA0168","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__gelJanzen01;s__gelJanzen01 Janzen377","BIOLOT#39874",2
"BOLD:AAA0168","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__gelJanzen01;s__gelJanzen01 Janzen377","BIOLOT#39878",2
"BOLD:AAA0194","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pterolonchidae;g__Homaledra;s__Homaledra Janzen633","BIOLOT#39864",2
"BOLD:AAA0194","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pterolonchidae;g__Homaledra;s__Homaledra Janzen633","BIOLOT#39867",127
"BOLD:AAA0194","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pterolonchidae;g__Homaledra;s__Homaledra Janzen633","BIOLOT#39868",1
