sampleId,sequences,classification,bin_uri
DNA-LT-WHE2-MAR2021-B,20,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pyralidae;g__Edulica;s__Edulica compedella,BOLD:AED4179
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Monotomidae;g__;s__,BOLD:ADU1551
DNA-LT-WHE2-MAR2021-B,1,"k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Notodontidae;g__lepJanzen01, Rifargira, Rifargia, arctinaeBioAlfa01, Ginaldia;s__Rifargia distinguenda, Ginaldia distinguenda, Ginaldia distinguendaDHJ02, Ginaldia distinguendaDHJ01, Rifargira spAS1, Rifargia sp., Ginaldia dissepta, arctinaeBioAlfa01 BioAlfa158, lepJanzen01 Janzen01, Rifargira distinguenda",BOLD:AAA6354
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Chloropteryx;s__Chloropteryx nordicaria,BOLD:AAE9077
DNA-LT-WHE2-MAR2021-B,2,k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__;s__,BOLD:ADU3670
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;g__;s__,BOLD:ADB4006
DNA-LT-WHE2-MAR2021-B,4,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Lamprosema;s__Lamprosema BioLep325,BOLD:AAA0256
DNA-LT-WHE2-MAR2021-B,9,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__;s__,BOLD:AEM4769
DNA-LT-WHE2-MAR2021-B,5,"k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pyralidae, unclassified Lepidoptera;g__phyBioLep01, lepJanzen01;s__phyBioLep01 BioLep1608, lepJanzen01 Janzen01",BOLD:AAA5512
DNA-LT-WHE2-MAR2021-B,49,k__Animalia;p__Arthropoda;c__Insecta;o__Dermaptera;f__Labiduridae;g__;s__,BOLD:ADT9937
DNA-LT-WHE2-MAR2021-B,11,k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Phoridae;g__Diocophora;s__,BOLD:ACE1710
DNA-LT-WHE2-MAR2021-B,4,"k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__unclassified Lepidoptera, Depressariidae;g__lepJanzen01, Stenoma;s__lepJanzen01 Janzen01, Stenoma Janzen148",BOLD:AAA0081
DNA-LT-WHE2-MAR2021-B,1,"k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae, Pterophoridae;g__pterophoridJanzen01, gelJanzen01;s__gelJanzen01 Janzen485, pterophoridJanzen01 Janzen01",BOLD:AAA0082
DNA-LT-WHE2-MAR2021-B,1,"k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Drosophilidae;g__Drosophila;s__Drosophila willistoni, Drosophila equinoxialis, Drosophila paulistorum",BOLD:ACW5039
DNA-LT-WHE2-MAR2021-B,2,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Choreutidae;g__Rhobonda;s__Rhobonda gaurisanaDHJ04,BOLD:AAA0085
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__;g__;s__,BOLD:AER7710
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tineidae;g__;s__,BOLD:ADS4903
DNA-LT-WHE2-MAR2021-B,12,"k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae, Erebidae, Noctuidae;g__Helia;s__Helia vitriluna, Helia vitrilunaDHJ02",BOLD:AAN6801
DNA-LT-WHE2-MAR2021-B,2,"k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__unclassified Lepidoptera, Crambidae;g__lepJanzen01, spiloBioLep01, Hymenia;s__spiloBioLep01 BioLep219, Hymenia BioAlfa215, lepJanzen01 Janzen01",BOLD:ADF1141
DNA-LT-WHE2-MAR2021-B,3,k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__;s__,BOLD:AEU6561
DNA-LT-WHE2-MAR2021-B,3,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Cosmopterigidae;g__cosmoBioLep01;s__cosmoBioLep01 BioLep1024,BOLD:AAH5782
DNA-LT-WHE2-MAR2021-B,1,"k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__Ramphia, Latebraria;s__Ramphia albizona, Latebraria albosigma, Ramphia albizonaDHJ03, Ramphia albizonaDHJ07, Ramphia albizonaDHJ06, Ramphia albizonaDHJ04, Latebraria amphipyroides",BOLD:ABY9281
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__gelMalaise01;s__,BOLD:ADU1361
DNA-LT-WHE2-MAR2021-B,18,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__erebidBioLep01;s__erebidBioLep01 BioLep492,BOLD:AAK4093
DNA-LT-WHE2-MAR2021-B,2,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Stenoma;s__Stenoma Janzen364,BOLD:AEF0071
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__Palthis;s__Palthis Poole09,BOLD:AAI4915
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__;s__,BOLD:AEK8098
DNA-LT-WHE2-MAR2021-B,31,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pyralidae;g__Chloropaschia;s__Chloropaschia Janzen02,BOLD:AAM1225
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__;s__,BOLD:ADV3727
DNA-LT-WHE2-MAR2021-B,8,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__;g__;s__,BOLD:AEO9578
DNA-LT-WHE2-MAR2021-B,4,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__;g__;s__,BOLD:ADS6715
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Stratiomyidae;g__Cyphomyia;s__Cyphomyia sp.,BOLD:AEK0833
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Notodontidae;g__Calledema;s__,BOLD:AED6860
DNA-LT-WHE2-MAR2021-B,1,"k__Animalia;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Vespidae;g__Apoica;s__Apoica pallens, Apoica sp. JKS-343",BOLD:ABZ7593
DNA-LT-WHE2-MAR2021-B,2,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Nitidulidae;g__;s__,BOLD:ACK5291
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Aderidae;g__;s__,BOLD:ADA7150
DNA-LT-WHE2-MAR2021-B,59,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pyralidae;g__chryBioLep01;s__chryBioLep01 BioLep549,BOLD:AAA1785
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__Tyrissa;s__Tyrissa perstrigata,BOLD:AAL8994
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Trichoptera;f__Hydroptilidae;g__;s__,BOLD:ADD0244
DNA-LT-WHE2-MAR2021-B,4,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__;g__;s__,BOLD:ADU1309
DNA-LT-WHE2-MAR2021-B,4,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tineidae;g__tinBioLep01;s__tinBioLep01 BioLep1748,BOLD:ADB1748
DNA-LT-WHE2-MAR2021-B,2,k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__;s__,BOLD:ADT3845
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Cecidomyiidae;g__;s__,BOLD:ADU9397
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Ceratopogonidae;g__;s__,BOLD:AEJ8093
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Trichoptera;f__Philopotamidae;g__Chimarra;s__Chimarra sp. gmycC42,BOLD:ADJ5943
DNA-LT-WHE2-MAR2021-B,1,"k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae, Noctuidae;g__Hemicephalis;s__Hemicephalis alesa, Hemicephalis alesaDHJ02",BOLD:AAB4206
DNA-LT-WHE2-MAR2021-B,4,k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__;s__,BOLD:ADV9374
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Phoridae;g__;s__,BOLD:AEK2684
DNA-LT-WHE2-MAR2021-B,7,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Conotrachelus;s__Conotrachelus sp. KM-2017,BOLD:ADU5465
DNA-LT-WHE2-MAR2021-B,1,"k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Erastria, Cotta;s__Cotta incongruaria, Erastria sp.",BOLD:AAE9344
DNA-LT-WHE2-MAR2021-B,28,k__Animalia;p__Arthropoda;c__Insecta;o__Orthoptera;f__Trigonidiidae;g__;s__,BOLD:ADE6554
DNA-LT-WHE2-MAR2021-B,5,"k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Dytiscidae, Hydrophilidae;g__Laccophilus, Paracymus;s__Laccophilus sp.",BOLD:ADS4354
DNA-LT-WHE2-MAR2021-B,4,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Oedemeridae;g__;s__,BOLD:AEL9294
DNA-LT-WHE2-MAR2021-B,6,"k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tortricidae;g__Mictopsichia;s__Mictopsichia Janzen343, Mictopsichia pentargyra",BOLD:AAO1773
DNA-LT-WHE2-MAR2021-B,18,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__Metalectra;s__Metalectra BioLep2027,BOLD:ACT5143
DNA-LT-WHE2-MAR2021-B,2,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__;s__,BOLD:AEQ9212
DNA-LT-WHE2-MAR2021-B,2,"k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae, Crambidae, Elachistidae;g__;s__",BOLD:AAA0012
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__Hypocharis;s__Hypocharis sp. 1YB,BOLD:AAM3482
DNA-LT-WHE2-MAR2021-B,86,"k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__Eulepidotis;s__Eulepidotis affinis, Eulepidotis perducens",BOLD:AAF7410
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Idaea;s__Idaea muscifasciata,BOLD:AAA0818
DNA-LT-WHE2-MAR2021-B,18,"k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Chloropteryx, geoBioLep3417;s__",BOLD:ACZ0516
DNA-LT-WHE2-MAR2021-B,3,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Elateridae;g__;s__,BOLD:ADT9960
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Xyleborus;s__Xyleborus ferrugineus,BOLD:ADK8172
DNA-LT-WHE2-MAR2021-B,13,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__;g__;s__,BOLD:ADT6453
DNA-LT-WHE2-MAR2021-B,1,"k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae;g__Elaphria;s__Elaphria medioclara, Elaphria Sullivan3912",BOLD:AAU3912
DNA-LT-WHE2-MAR2021-B,2,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Cosmopterigidae;g__;s__,BOLD:AES3636
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Ceratocombidae;g__;s__,BOLD:ADU7695
DNA-LT-WHE2-MAR2021-B,128,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Rhinostomus;s__Rhinostomus barbirostris,BOLD:ABV0283
DNA-LT-WHE2-MAR2021-B,2,"k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae, unclassified Lepidoptera;g__lepJanzen01, Idaea;s__Idaea BioLep600, lepJanzen01 Janzen01",BOLD:AAD3913
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cixiidae;g__;s__,BOLD:ADS6104
DNA-LT-WHE2-MAR2021-B,3,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__unclassified Lepidoptera;g__lepJanzen01;s__lepJanzen01 Janzen01,BOLD:AER2374
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__;s__,BOLD:ADU9707
DNA-LT-WHE2-MAR2021-B,5,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Idaea;s__Idaea Malaise9610,BOLD:AEO9610
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Drosophilidae;g__;s__,BOLD:ADA0510
DNA-LT-WHE2-MAR2021-B,28,"k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__unclassified Lepidoptera, Erebidae;g__lepJanzen01, Cryptochrostis;s__Cryptochrostis suppulchraria, lepJanzen01 Janzen01",BOLD:AAC6860
DNA-LT-WHE2-MAR2021-B,3,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Xyleborus;s__Xyleborus ferrugineus,BOLD:ADJ6116
DNA-LT-WHE2-MAR2021-B,1,"k__Animalia;p__Arthropoda;c__Insecta;o__Trichoptera;f__Philopotamidae;g__Chimarra;s__Chimarra SADR05, Chimarra villalobosi, Chimarra sp., Chimarra wilcuma",BOLD:AAJ0296
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__;s__,BOLD:ADV1533
DNA-LT-WHE2-MAR2021-B,1,"k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Endotribelos, Chironomus;s__Chironomus sp., Endotribelos cf. hesperium GES-2010",BOLD:AEM1503
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Rhodochlora;s__Rhodochlora BioLep22,BOLD:ACY8567
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Chrysomelidae;g__;s__,BOLD:ACG3965
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__;s__,BOLD:ADU3828
DNA-LT-WHE2-MAR2021-B,8,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__;s__,BOLD:AEQ9203
DNA-LT-WHE2-MAR2021-B,4,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Hymenomima;s__Hymenomima memorDHJ01,BOLD:AAF9513
DNA-LT-WHE2-MAR2021-B,7,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__Plynteria;s__,BOLD:AAD4852
DNA-LT-WHE2-MAR2021-B,5,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__;g__;s__,BOLD:ADU3685
DNA-LT-WHE2-MAR2021-B,14,"k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__unclassified Lepidoptera, Depressariidae;g__lepJanzen01, Ethmia;s__Ethmia Janzeni, lepJanzen01 Janzen01",BOLD:AAF4567
DNA-LT-WHE2-MAR2021-B,1,"k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__unclassified Lepidoptera, Erebidae;g__lepJanzen01, Pareuchaetes;s__Pareuchaetes abbysmutnyae, Pareuchaetes insulata, Pareuchaetes sp., lepJanzen01 Janzen01",BOLD:AAA1317
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Diastictis;s__Diastictis robustior,BOLD:AAP3971
DNA-LT-WHE2-MAR2021-B,10,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Curculionidae;g__Xyleborus;s__Xyleborus ferrugineus,BOLD:ADK8174
DNA-LT-WHE2-MAR2021-B,6,"k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__Episcepsis;s__Episcepsis hypoleucaDHJ03, Episcepsis redunda, Episcepsis hypoleucaDHJ04, Episcepsis hypoleuca, Episcepsis sp.",BOLD:AAA1417
DNA-LT-WHE2-MAR2021-B,2,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__;g__;s__,BOLD:ADV4547
DNA-LT-WHE2-MAR2021-B,1,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__Clemensia;s__Clemensia BioLep0642,BOLD:AEJ0642
DNA-LT-WHE2-MAR2021-B,2,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__;g__;s__,BOLD:ADU0520
DNA-LT-WHE2-MAR2021-B,2,k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Aderidae;g__;s__,BOLD:ACR8214
