"bin_uri","classification","DNA.LT.ARM2.MAR2021.A","DNA.LT.WHE1.MAR2021.B","DNA.LT.BAL1.MAR2021.B","DNA.LT.WHE1.MAR2021.A","DNA.LT.WHE2.MAR2021.B","DNA.LT.ARM4.MAR2021.A","DNA.LT.BAL1.MAR2021.A","DNA.LT.ARM3.MAR2021.B","DNA.LT.ARM4.MAR2021.B","DNA.LT.ZET1.MAR2021.A","DNA.LT.ZET1.MAR2021.B","DNA.LT.ARM1.MAR2021.A","DNA.LT.ARM1.MAR2021.B","DNA.LT.WHE2.MAR2021.A","DNA.LT.ZET2.MAR2021.A","DNA.LT.ARM3.MAR2021.A","DNA.LT.DRA1.MAR2021.B","DNA.LT.ZET2.MAR2021.B","DNA.LT.DRA1.MAR2021.A","DNA.LT.ARM2.MAR2021.B"
"BOLD:AAA0009","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__gelJanzen1, gelJanzen01;s__gelJanzen01 Janzen1358, gelJanzen1 Janzen1358",36,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOLD:AAA0012","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae, Crambidae, Elachistidae;g__;s__",0,0,7,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOLD:AAA0016","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Cerconota;s__Cerconota Janzen136",0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOLD:AAA0065","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__gelJanzen01;s__gelJanzen01 Janzen285, gelJanzen01 Janzen363",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOLD:AAA0081","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__unclassified Lepidoptera, Depressariidae;g__lepJanzen01, Stenoma;s__lepJanzen01 Janzen01, Stenoma Janzen148",0,0,0,0,6,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
"BOLD:AAA0082","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae, Pterophoridae;g__pterophoridJanzen01, gelJanzen01;s__gelJanzen01 Janzen485, pterophoridJanzen01 Janzen01",0,0,0,0,5,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0
"BOLD:AAA0085","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Choreutidae;g__Rhobonda;s__Rhobonda gaurisanaDHJ04",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731",0,0,0,0,18,0,0,20,6,0,0,7,14,22,10,0,0,0,0,0
"BOLD:AAA0101","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Nolidae;g__Egchiretes;s__Egchiretes Poole02",0,0,0,0,0,0,0,28,0,0,0,0,0,0,16,0,0,0,0,0
"BOLD:AAA0107","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae, Erebidae;g__Dichomeris;s__Dichomeris Janzen76",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
