"bin_uri","classification","sampleId","sequences"
"BOLD:AAA0009","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__gelJanzen1, gelJanzen01;s__gelJanzen01 Janzen1358, gelJanzen1 Janzen1358","DNA-LT-ARM2-MAR2021-A",36
"BOLD:AAA0009","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__gelJanzen1, gelJanzen01;s__gelJanzen01 Janzen1358, gelJanzen1 Janzen1358","DNA-LT-WHE1-MAR2021-B",40
"BOLD:AAA0012","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae, Crambidae, Elachistidae;g__;s__","DNA-LT-BAL1-MAR2021-B",7
"BOLD:AAA0012","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae, Crambidae, Elachistidae;g__;s__","DNA-LT-WHE1-MAR2021-A",10
"BOLD:AAA0012","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae, Crambidae, Elachistidae;g__;s__","DNA-LT-WHE2-MAR2021-B",7
"BOLD:AAA0016","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Cerconota;s__Cerconota Janzen136","DNA-LT-ARM4-MAR2021-A",60
"BOLD:AAA0065","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__gelJanzen01;s__gelJanzen01 Janzen285, gelJanzen01 Janzen363","DNA-LT-BAL1-MAR2021-A",2
"BOLD:AAA0081","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__unclassified Lepidoptera, Depressariidae;g__lepJanzen01, Stenoma;s__lepJanzen01 Janzen01, Stenoma Janzen148","DNA-LT-ARM3-MAR2021-B",7
"BOLD:AAA0081","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__unclassified Lepidoptera, Depressariidae;g__lepJanzen01, Stenoma;s__lepJanzen01 Janzen01, Stenoma Janzen148","DNA-LT-ARM4-MAR2021-B",1
"BOLD:AAA0081","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__unclassified Lepidoptera, Depressariidae;g__lepJanzen01, Stenoma;s__lepJanzen01 Janzen01, Stenoma Janzen148","DNA-LT-WHE2-MAR2021-B",6
"BOLD:AAA0082","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae, Pterophoridae;g__pterophoridJanzen01, gelJanzen01;s__gelJanzen01 Janzen485, pterophoridJanzen01 Janzen01","DNA-LT-WHE2-MAR2021-B",5
"BOLD:AAA0082","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae, Pterophoridae;g__pterophoridJanzen01, gelJanzen01;s__gelJanzen01 Janzen485, pterophoridJanzen01 Janzen01","DNA-LT-ZET1-MAR2021-A",10
"BOLD:AAA0082","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae, Pterophoridae;g__pterophoridJanzen01, gelJanzen01;s__gelJanzen01 Janzen485, pterophoridJanzen01 Janzen01","DNA-LT-ZET1-MAR2021-B",2
"BOLD:AAA0085","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Choreutidae;g__Rhobonda;s__Rhobonda gaurisanaDHJ04","DNA-LT-WHE2-MAR2021-B",3
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731","DNA-LT-ARM1-MAR2021-A",7
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731","DNA-LT-ARM1-MAR2021-B",14
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731","DNA-LT-ARM3-MAR2021-B",20
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731","DNA-LT-ARM4-MAR2021-B",6
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731","DNA-LT-WHE2-MAR2021-A",22
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731","DNA-LT-WHE2-MAR2021-B",18
"BOLD:AAA0100","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen731","DNA-LT-ZET2-MAR2021-A",10
"BOLD:AAA0101","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Nolidae;g__Egchiretes;s__Egchiretes Poole02","DNA-LT-ARM3-MAR2021-B",28
"BOLD:AAA0101","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Nolidae;g__Egchiretes;s__Egchiretes Poole02","DNA-LT-ZET2-MAR2021-A",16
"BOLD:AAA0107","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae, Erebidae;g__Dichomeris;s__Dichomeris Janzen76","DNA-LT-ARM2-MAR2021-A",1
"BOLD:AAA0107","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae, Erebidae;g__Dichomeris;s__Dichomeris Janzen76","DNA-LT-BAL1-MAR2021-A",1
"BOLD:AAA0107","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae, Erebidae;g__Dichomeris;s__Dichomeris Janzen76","DNA-LT-BAL1-MAR2021-B",1
"BOLD:AAA0116","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Chlamydastis;s__Chlamydastis irenecanasae","DNA-LT-WHE1-MAR2021-A",22
"BOLD:AAA0118","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha Janzen99, Antaeotricha Janzen321, Antaeotricha Janzen545","DNA-LT-ARM4-MAR2021-A",4
"BOLD:AAA0138","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__gelJanzen01;s__gelJanzen01 Janzen467","DNA-LT-WHE1-MAR2021-B",1
"BOLD:AAA0139","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha incrassataDHJ03","DNA-LT-ARM3-MAR2021-A",1
"BOLD:AAA0139","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha incrassataDHJ03","DNA-LT-ARM4-MAR2021-A",37
"BOLD:AAA0139","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha incrassataDHJ03","DNA-LT-DRA1-MAR2021-B",78
"BOLD:AAA0139","k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Antaeotricha;s__Antaeotricha incrassataDHJ03","DNA-LT-WHE1-MAR2021-A",1
