bin_uri,classification,ARM3AWET,DRA1AWET,ARM1AWET,BAL1AWET,WHE1AWET,WHE2AWET,ZET1AWET,ARM4AWET,BAL1BWET,DRA1BWET,WHE1BWET,WHE2BWET,ARM2BWET,ARM1BWET,ZET2AWET,ARM2AWET,ARM3BWET,ZET1BWET,ZET2BWET,ARM4BWET,ARM2ADRY,WHE1BDRY,BAL1BDRY,WHE1ADRY,WHE2BDRY,ARM4ADRY,BAL1ADRY,ARM3BDRY,ARM4BDRY,ZET1ADRY,ZET1BDRY,ARM1ADRY,ARM1BDRY,WHE2ADRY,ZET2ADRY,ARM3ADRY,DRA1BDRY,ZET2BDRY,DRA1ADRY,ARM2BDRY
BOLD:AEK1984,k__Animalia;p__Arthropoda;c__Arachnida;o__;f__;g__;s__,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AEK9771,k__Animalia;p__Arthropoda;c__Arachnida;o__;f__;g__;s__,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AEL2824,k__Animalia;p__Arthropoda;c__Arachnida;o__;f__;g__;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:ADT0927,k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Anyphaenidae;g__;s__,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AEL0213,k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Anyphaenidae;g__;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:ABV9212,k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Araneidae;g__Arachnura;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAL6276,k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Araneidae;g__Eustala;s__sp.10FML,0,0,0,0,0,1,123,0,1,0,0,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:ADS1384,k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Clubionidae;g__;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
BOLD:AEO6087,k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Sparassidae;g__;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
BOLD:AAG4816,k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Theridiidae;g__Anelosimus;s__studiosus,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AEF4932,k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Theridiidae;g__Coleosoma;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAO3910,k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Theridiidae;g__Nesticodes;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:ADS5420,k__Animalia;p__Arthropoda;c__Arachnida;o__Mesostigmata;f__;g__;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,2,0,1
BOLD:ADT1756,k__Animalia;p__Arthropoda;c__Arachnida;o__Mesostigmata;f__;g__;s__,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:ADT9221,k__Animalia;p__Arthropoda;c__Arachnida;o__Mesostigmata;f__;g__;s__,0,4,0,8,0,0,0,43,0,20,4,3,0,0,0,4,0,0,6,5,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0
BOLD:ADE4375,k__Animalia;p__Arthropoda;c__Arachnida;o__Mesostigmata;f__Ameroseiidae;g__;s__,0,3,0,0,0,0,1,2,3,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
BOLD:ABA5531,k__Animalia;p__Arthropoda;c__Arachnida;o__Mesostigmata;f__Oplitidae;g__;s__,0,0,0,11,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:ADE0432,k__Animalia;p__Arthropoda;c__Arachnida;o__Mesostigmata;f__Trematuridae;g__;s__,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:ADE7167,k__Animalia;p__Arthropoda;c__Arachnida;o__Mesostigmata;f__Trematuridae;g__;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BOLD:ACQ7690,k__Animalia;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Trhypochthoniidae;g__Archegozetes;s__longisetosus,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:ADS2037,k__Animalia;p__Arthropoda;c__Arachnida;o__Trombidiformes;f__;g__;s__,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:ADT9628,k__Animalia;p__Arthropoda;c__Arachnida;o__Trombidiformes;f__Erythraeidae;g__;s__,1,0,1,0,0,0,31,0,0,0,0,0,1,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:ADV8662,k__Animalia;p__Arthropoda;c__Arachnida;o__Trombidiformes;f__Erythraeidae;g__;s__,0,0,0,0,2,1,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:ADU7955,k__Animalia;p__Arthropoda;c__Arachnida;o__Trombidiformes;f__Eupodidae;g__;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AEJ0768,k__Animalia;p__Arthropoda;c__Arachnida;o__Trombidiformes;f__Eupodidae;g__;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:ADU6626,k__Animalia;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__;g__;s__,123,4,1,0,0,0,85,0,83,0,0,0,0,24,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:ADU6622,k__Animalia;p__Arthropoda;c__Collembola;o__Symphypleona;f__Bourletiellidae;g__;s__,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:ADV7142,k__Animalia;p__Arthropoda;c__Insecta;o__Blattodea;f__Blaberidae;g__;s__,251,65,0,54,53,0,0,0,0,1,0,0,0,0,0,1,56,0,1,72,806,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,547,2,0,0,0
BOLD:ADS0890,k__Animalia;p__Arthropoda;c__Insecta;o__Blattodea;f__Ectobiidae;g__;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,0,0
BOLD:ADT5691,k__Animalia;p__Arthropoda;c__Insecta;o__Blattodea;f__Ectobiidae;g__;s__,0,0,0,2,3,0,2,0,0,0,0,1,735,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:ADU1637,k__Animalia;p__Arthropoda;c__Insecta;o__Blattodea;f__Ectobiidae;g__;s__,67,263,0,191,45,103,8,159,28,55,0,54,2,0,41,0,49,42,0,84,0,1,12,5,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0
BOLD:ADU7449,k__Animalia;p__Arthropoda;c__Insecta;o__Blattodea;f__Ectobiidae;g__;s__,1,2,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:ADV3159,k__Animalia;p__Arthropoda;c__Insecta;o__Blattodea;f__Ectobiidae;g__;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676,0,0,0,0,0,0,0,0
BOLD:AEC9038,k__Animalia;p__Arthropoda;c__Insecta;o__Blattodea;f__Ectobiidae;g__;s__,0,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
