sampleID,site,day,SEASON,,,,,,,sampleID,site,day,SEASON,,name
total39883,ARM4,b,wet,,,,BIOLOT.39872,,,total39872,ARM3,A,WET,,ARM3AWET
total39882,ARM3,b,wet,,,,BIOLOT.39866,,,total39866,DRA1,A,WET,,DRA1AWET
total39881,ARM2,b,wet,,,,BIOLOT.39864,,,total39864,ARM1,A,WET,,ARM1AWET
total39880,ZET2,b,wet,,,,BIOLOT.39865,,,total39865,BAL1,A,WET,,BAL1AWET
total39879,ZET1,b,wet,,,,BIOLOT.39867,,,total39867,WHE1,A,WET,,WHE1AWET
total39878,WHE2,b,wet,,,,BIOLOT.39868,,,total39868,WHE2,A,WET,,WHE2AWET
total39877,WHE1,b,wet,,,,BIOLOT.39869,,,total39869,ZET1,A,WET,,ZET1AWET
total39876,DRA1,b,wet,,,,BIOLOT.39873,,,total39873,ARM4,A,WET,,ARM4AWET
total39875,BAL1,b,wet,,,,BIOLOT.39875,,,total39875,BAL1,B,WET,,BAL1BWET
total39874,ARM1,b,wet,,,,BIOLOT.39876,,,total39876,DRA1,B,WET,,DRA1BWET
total39873,ARM4,a,wet,,,,BIOLOT.39877,,,total39877,WHE1,B,WET,,WHE1BWET
total39872,ARM3,a,wet,,,,BIOLOT.39878,,,total39878,WHE2,B,WET,,WHE2BWET
total39871,ARM2,a,wet,,,,BIOLOT.39881,,,total39881,ARM2,B,WET,,ARM2BWET
total39870,ZET2,a,wet,,,,BIOLOT.39874,,,total39874,ARM1,B,WET,,ARM1BWET
total39869,ZET1,a,wet,,,,BIOLOT.39870,,,total39870,ZET2,A,WET,,ZET2AWET
total39868,WHE2,a,wet,,,,BIOLOT.39871,,,total39871,ARM2,A,WET,,ARM2AWET
total39867,WHE1,a,wet,,,,BIOLOT.39882,,,total39882,ARM3,B,WET,,ARM3BWET
total39866,DRA1,a,wet,,,,BIOLOT.39879,,,total39879,ZET1,B,WET,,ZET1BWET
total39865,BAL1,a,wet,,,,BIOLOT.39880,,,total39880,ZET2,B,WET,,ZET2BWET
total39864,ARM1,a,wet,,,,BIOLOT.39883,,,total39883,ARM4,B,WET,,ARM4BWET
ARM1A,ARM1,a,dry,,,,DNA.LT.ARM2.MAR2021.A,,,ARM2A,ARM2,A,DRY,,ARM2ADRY
ARM1B,ARM1,b,dry,,,,DNA.LT.WHE1.MAR2021.B,,,WHE1B,WHE1,B,DRY,,WHE1BDRY
ARM2A,ARM2,a,dry,,,,DNA.LT.BAL1.MAR2021.B,,,BAL1B,BAL1,B,DRY,,BAL1BDRY
ARM2B,ARM2,b,dry,,,,DNA.LT.WHE1.MAR2021.A,,,WHE1A,WHE1,A,DRY,,WHE1ADRY
ARM3A,ARM3,a,dry,,,,DNA.LT.WHE2.MAR2021.B,,,WHE2B,WHE2,B,DRY,,WHE2BDRY
ARM3B,ARM3,b,dry,,,,DNA.LT.ARM4.MAR2021.A,,,ARM4A,ARM4,A,DRY,,ARM4ADRY
ARM4A,ARM4,a,dry,,,,DNA.LT.BAL1.MAR2021.A,,,BAL1A,BAL1,A,DRY,,BAL1ADRY
ARM4B,ARM4,b,dry,,,,DNA.LT.ARM3.MAR2021.B,,,ARM3B,ARM3,B,DRY,,ARM3BDRY
BAL1A,BAL1,a,dry,,,,DNA.LT.ARM4.MAR2021.B,,,ARM4B,ARM4,B,DRY,,ARM4BDRY
BAL1B,BAL1,b,dry,,,,DNA.LT.ZET1.MAR2021.A,,,ZET1A,ZET1,A,DRY,,ZET1ADRY
DRA1A,DRA1,a,dry,,,,DNA.LT.ZET1.MAR2021.B,,,ZET1B,ZET1,B,DRY,,ZET1BDRY
DRA1B,DRA1,b,dry,,,,DNA.LT.ARM1.MAR2021.A,,,ARM1A,ARM1,A,DRY,,ARM1ADRY
WHE1A,WHE1,a,dry,,,,DNA.LT.ARM1.MAR2021.B,,,ARM1B,ARM1,B,DRY,,ARM1BDRY
WHE1B,WHE1,b,dry,,,,DNA.LT.WHE2.MAR2021.A,,,WHE2A,WHE2,A,DRY,,WHE2ADRY
WHE2A,WHE2,a,dry,,,,DNA.LT.ZET2.MAR2021.A,,,ZET2A,ZET2,A,DRY,,ZET2ADRY
WHE2B,WHE2,b,dry,,,,DNA.LT.ARM3.MAR2021.A,,,ARM3A,ARM3,A,DRY,,ARM3ADRY
ZET1A,ZET1,a,dry,,,,DNA.LT.DRA1.MAR2021.B,,,DRA1B,DRA1,B,DRY,,DRA1BDRY
ZET1B,ZET1,b,dry,,,,DNA.LT.ZET2.MAR2021.B,,,ZET2B,ZET2,B,DRY,,ZET2BDRY
ZET2A,ZET2,a,dry,,,,DNA.LT.DRA1.MAR2021.A,,,DRA1A,DRA1,A,DRY,,DRA1ADRY
ZET2B,ZET2,b,dry,,,,DNA.LT.ARM2.MAR2021.B,,,ARM2B,ARM2,B,DRY,,ARM2BDRY
