sampleID,site,day,SEASON
ARM3AWET,ARM3,A,WET
DRA1AWET,DRA1,A,WET
ARM1AWET,ARM1,A,WET
BAL1AWET,BAL1,A,WET
WHE1AWET,WHE1,A,WET
WHE2AWET,WHE2,A,WET
ZET1AWET,ZET1,A,WET
ARM4AWET,ARM4,A,WET
BAL1BWET,BAL1,B,WET
DRA1BWET,DRA1,B,WET
WHE1BWET,WHE1,B,WET
WHE2BWET,WHE2,B,WET
ARM2BWET,ARM2,B,WET
ARM1BWET,ARM1,B,WET
ZET2AWET,ZET2,A,WET
ARM2AWET,ARM2,A,WET
ARM3BWET,ARM3,B,WET
ZET1BWET,ZET1,B,WET
ZET2BWET,ZET2,B,WET
ARM4BWET,ARM4,B,WET
ARM2ADRY,ARM2,A,DRY
WHE1BDRY,WHE1,B,DRY
BAL1BDRY,BAL1,B,DRY
WHE1ADRY,WHE1,A,DRY
WHE2BDRY,WHE2,B,DRY
ARM4ADRY,ARM4,A,DRY
BAL1ADRY,BAL1,A,DRY
ARM3BDRY,ARM3,B,DRY
ARM4BDRY,ARM4,B,DRY
ZET1ADRY,ZET1,A,DRY
ZET1BDRY,ZET1,B,DRY
ARM1ADRY,ARM1,A,DRY
ARM1BDRY,ARM1,B,DRY
WHE2ADRY,WHE2,A,DRY
ZET2ADRY,ZET2,A,DRY
ARM3ADRY,ARM3,A,DRY
DRA1BDRY,DRA1,B,DRY
ZET2BDRY,ZET2,B,DRY
DRA1ADRY,DRA1,A,DRY
ARM2BDRY,ARM2,B,DRY
