sample_code,abundance,bold_bin,classification
LT_BAL1_MAY2019_A,1,BOLD:AAA0256,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Lamprosema;s__BioLep325
LT_ARM4_MAY2019_B,1,BOLD:AAA0256,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Lamprosema;s__BioLep325
LT_ZET2_MAR2021_A,1,BOLD:AAA0256,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Lamprosema;s__BioLep325
LT_ARM1_MAY2019_B,1,BOLD:AAA0332,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Apilocrocis;s__excelsalis
LT_ZET2_MAY2019_A,1,BOLD:AAA0332,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Apilocrocis;s__excelsalis
LT_ARM3_MAY2019_B,1,BOLD:AAA0332,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Apilocrocis;s__excelsalis
LT_DRA1_MAY2019_B,1,BOLD:AAA0332,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Apilocrocis;s__excelsalis
LT_WHE2_MAY2019_B,1,BOLD:AAA0332,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Apilocrocis;s__excelsalis
LT_WHE1_MAR2021_B,1,BOLD:AAA0332,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Apilocrocis;s__excelsalis
LT_WHE2_MAR2021_B,1,BOLD:AAA0332,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Apilocrocis;s__excelsalis
LT_WHE2_MAY2019_A,1,BOLD:AAA0338,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Blepharomastix;s__sp.1YB
LT_ARM4_MAR2021_B,3,BOLD:AAA0338,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Blepharomastix;s__sp.1YB
LT_ARM1_MAR2021_A,1,BOLD:AAA0338,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Blepharomastix;s__sp.1YB
LT_WHE1_MAR2021_A,1,BOLD:AAA0338,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Blepharomastix;s__sp.1YB
LT_ARM1_MAY2019_A,1,BOLD:AAA0347,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Conchylodes;s__nolckenialis
LT_BAL1_MAY2019_B,1,BOLD:AAA0347,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Conchylodes;s__nolckenialis
LT_WHE2_MAY2019_A,1,BOLD:AAA0347,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Conchylodes;s__nolckenialis
LT_ZET2_MAR2021_B,1,BOLD:AAA0347,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Conchylodes;s__nolckenialis
LT_ARM4_MAR2021_A,1,BOLD:AAA0347,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Conchylodes;s__nolckenialis
LT_DRA1_MAR2021_A,1,BOLD:AAA0354,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Omiodes;s__croceiceps
LT_ARM4_MAR2021_B,1,BOLD:AAA0357,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Eulepte;s__concordalis
LT_ZET2_MAY2019_A,1,BOLD:AAA0363,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Palpita;s__venatalis
LT_BAL1_MAY2019_B,1,BOLD:AAA0363,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Palpita;s__venatalis
LT_WHE1_MAY2019_A,3,BOLD:AAA0363,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Palpita;s__venatalis
LT_ARM3_MAY2019_A,1,BOLD:AAA0363,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Palpita;s__venatalis
LT_ARM3_MAY2019_A,1,BOLD:AAA0363,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Palpita;s__venatalis
LT_DRA1_MAY2019_A,1,BOLD:AAA0363,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Palpita;s__venatalis
LT_WHE2_MAY2019_B,1,BOLD:AAA0363,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Palpita;s__venatalis
LT_WHE1_MAR2021_B,1,BOLD:AAA0363,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Palpita;s__venatalis
LT_WHE1_MAR2021_A,1,BOLD:AAA0363,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Palpita;s__venatalis
LT_ARM2_MAY2019_B,1,BOLD:AAA0378,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Ategumia;s__dilecticolor
LT_ARM3_MAR2021_B,1,BOLD:AAA0408,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Desmia;s__bajulalis
LT_ARM1_MAY2019_B,3,BOLD:AAA0410,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Syllepte;s__strigicincta
LT_ARM1_MAY2019_A,1,BOLD:AAA0410,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Syllepte;s__strigicincta
LT_ARM2_MAY2019_A,1,BOLD:AAA0410,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Syllepte;s__strigicincta
LT_ZET2_MAY2019_A,3,BOLD:AAA0410,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Syllepte;s__strigicincta
LT_ARM4_MAY2019_B,8,BOLD:AAA0410,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Syllepte;s__strigicincta
LT_BAL1_MAY2019_B,4,BOLD:AAA0410,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Syllepte;s__strigicincta
LT_DRA1_MAY2019_B,1,BOLD:AAA0410,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Syllepte;s__strigicincta
LT_WHE1_MAY2019_A,1,BOLD:AAA0410,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Syllepte;s__strigicincta
LT_WHE1_MAY2019_B,3,BOLD:AAA0410,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Syllepte;s__strigicincta
LT_WHE2_MAY2019_B,1,BOLD:AAA0410,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Syllepte;s__strigicincta
LT_ARM4_MAY2019_A,3,BOLD:AAA0410,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Syllepte;s__strigicincta
LT_ZET1_MAY2019_B,2,BOLD:AAA0410,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Syllepte;s__strigicincta
LT_ZET2_MAY2019_B,5,BOLD:AAA0410,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Syllepte;s__strigicincta
LT_DRA1_MAY2019_B,1,BOLD:AAA0413,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Argyria;s__lacteella
LT_ARM2_MAY2019_B,1,BOLD:AAA0413,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Argyria;s__lacteella
LT_DRA1_MAY2019_A,1,BOLD:AAA0441,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Desmia;s__ploralisDHJ02
LT_WHE1_MAY2019_A,1,BOLD:AAA0441,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Desmia;s__ploralisDHJ02
LT_WHE1_MAY2019_B,1,BOLD:AAA0441,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Desmia;s__ploralisDHJ02
LT_ARM4_MAY2019_A,1,BOLD:AAA0441,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Desmia;s__ploralisDHJ02
LT_WHE2_MAR2021_A,1,BOLD:AAA0441,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Desmia;s__ploralisDHJ02
LT_BAL1_MAY2019_A,1,BOLD:AAA0460,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Prenesta;s__scyllalisDHJ01
LT_DRA1_MAY2019_A,1,BOLD:AAA0460,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Prenesta;s__scyllalisDHJ01
LT_ARM4_MAY2019_A,1,BOLD:AAA0460,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Prenesta;s__scyllalisDHJ01
LT_ARM3_MAY2019_A,1,BOLD:AAA0460,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Prenesta;s__scyllalisDHJ01
LT_WHE1_MAR2021_B,1,BOLD:AAA0460,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Prenesta;s__scyllalisDHJ01
LT_ARM4_MAR2021_B,1,BOLD:AAA0460,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Prenesta;s__scyllalisDHJ01
LT_ARM2_MAR2021_A,2,BOLD:AAA0460,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Prenesta;s__scyllalisDHJ01
LT_ARM3_MAR2021_A,1,BOLD:AAA0460,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Prenesta;s__scyllalisDHJ01
LT_ZET2_MAR2021_A,1,BOLD:AAA0460,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Prenesta;s__scyllalisDHJ01
LT_DRA1_MAR2021_A,2,BOLD:AAA0460,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Prenesta;s__scyllalisDHJ01
LT_ARM1_MAY2019_B,3,BOLD:AAA0473,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Parapoynx;s__fluctuosalis
LT_ARM2_MAY2019_B,5,BOLD:AAA0473,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Parapoynx;s__fluctuosalis
LT_ARM3_MAY2019_B,1,BOLD:AAA0473,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Parapoynx;s__fluctuosalis
LT_BAL1_MAY2019_B,1,BOLD:AAA0473,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Parapoynx;s__fluctuosalis
LT_DRA1_MAY2019_B,1,BOLD:AAA0473,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Parapoynx;s__fluctuosalis
LT_WHE1_MAY2019_B,3,BOLD:AAA0473,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Parapoynx;s__fluctuosalis
LT_WHE2_MAY2019_B,1,BOLD:AAA0473,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Parapoynx;s__fluctuosalis
LT_WHE2_MAY2019_A,1,BOLD:AAA0473,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Parapoynx;s__fluctuosalis
LT_ARM3_MAY2019_A,2,BOLD:AAA0473,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Parapoynx;s__fluctuosalis
LT_ARM2_MAY2019_A,1,BOLD:AAA0473,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Parapoynx;s__fluctuosalis
LT_ARM4_MAY2019_A,1,BOLD:AAA0473,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Parapoynx;s__fluctuosalis
LT_BAL1_MAY2019_A,1,BOLD:AAA0473,k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Parapoynx;s__fluctuosalis
