bin_uri,OTU_ID,classification,total39864,total39865,total39866,total39867,total39868,total39869,total39870,total39871,total39872,total39873,total39874,total39875,total39876,total39877,total39878,total39879,total39880,total39881,total39882,total39883,ARM1A,ARM1B,ARM2A,ARM2B,ARM3A,ARM3B,ARM4A,ARM4B,BAL1A,BAL1B,DRA1A,DRA1B,WHE1A,WHE1B,WHE2A,WHE2B,ZET1A,ZET1B,ZET2A,ZET2B
BOLD:AAA0009,otu_1,p__Arthropoda;o__Insecta;c__Lepidoptera;f__Gelechiidae;s__;g__gelJanzen1;s__Janzen1358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
BOLD:AAA0012,otu_2,p__Arthropoda;o__Insecta;c__Lepidoptera;f__Gelechiidae;s__;g__;s__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,5,0,0,0,0
BOLD:AAA0016,otu_3,p__Arthropoda;o__Insecta;c__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Cerconota;s__Janzen136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0081,otu_4,p__Arthropoda;o__Insecta;c__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Stenoma;s__Janzen148,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
BOLD:AAA0082,otu_5,p__Arthropoda;o__Insecta;c__Lepidoptera;f__Gelechiidae;s__;g__gelJanzen01;s__Janzen485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0
BOLD:AAA0085,otu_6,p__Arthropoda;o__Insecta;c__Lepidoptera;f__Choreutidae;s__Choreutinae;g__Rhobonda;s__gaurisanaDHJ04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
BOLD:AAA0100,otu_7,p__Arthropoda;o__Insecta;c__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Antaeotricha;s__Janzen731,0,41,0,2,0,0,0,0,0,27,0,49,88,11,202,0,0,0,0,0,5,13,0,0,0,20,0,5,0,0,0,0,0,0,22,18,0,0,10,0
BOLD:AAA0101,otu_8,p__Arthropoda;o__Insecta;c__Lepidoptera;f__Nolidae;s__Chloephorinae;g__Egchiretes;s__Poole02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,16,0
BOLD:AAA0107,otu_9,p__Arthropoda;o__Insecta;c__Lepidoptera;f__Gelechiidae;s__;g__;s__,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0116,otu_10,p__Arthropoda;o__Insecta;c__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Chlamydastis;s__irenecanasae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
BOLD:AAA0118,otu_11,p__Arthropoda;o__Insecta;c__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Antaeotricha;s__Janzen99,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0138,otu_12,p__Arthropoda;o__Insecta;c__Lepidoptera;f__Gelechiidae;s__;g__gelJanzen01;s__Janzen467,0,51,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAA0139,otu_13,p__Arthropoda;o__Insecta;c__Lepidoptera;f__Depressariidae;s__Stenomatinae;g__Antaeotricha;s__incrassataDHJ03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,78,0,0,0,51,0,0,0,57
