sampleID,site,day,SEASON,,
ARM1AD,ARM1,A,dry,,
ARM1BD,ARM1,B,dry,,
ARM2AD,ARM2,A,dry,,
ARM2BD,ARM2,B,dry,,
ARM3AD,ARM3,A,dry,,
ARM3BD,ARM3,B,dry,,
ARM4AD,ARM4,A,dry,,
ARM4BD,ARM4,B,dry,,
BAL1AD,BAL1,A,dry,,
BAL1BD,BAL1,B,dry,,
DRA1AD,DRA1,A,dry,,
DRA1BD,DRA1,B,dry,,
ARM1AW,ARM1,A,wet,,
BAL1AW,BAL1,A,wet,,
DRA1AW,DRA1,A,wet,,
WHE1AW,WHE1,A,wet,,
WHE2AW,WHE2,A,wet,,
ZET1AW,ZET1,A,wet,,
ZET2AW,ZET2,A,wet,,
ARM2AW,ARM2,A,wet,,
ARM3AW,ARM3,A,wet,,
ARM4AW,ARM4,A,wet,,
ARM1BW,ARM1,B,wet,,
BAL1BW,BAL1,B,wet,,
DRA1BW,DRA1,B,wet,,
WHE1BW,WHE1,B,wet,,
WHE2BW,WHE2,B,wet,,
ZET1BW,ZET1,B,wet,,
ZET2BW,ZET2,B,wet,,
ARM2BW,ARM2,B,wet,,
ARM3BW,ARM3,B,wet,,
ARM4BW,ARM4,B,wet,,
WHE1AD,WHE1,A,dry,,
WHE1BD,WHE1,B,dry,,
WHE2AD,WHE2,A,dry,,
WHE2BD,WHE2,B,dry,,
ZET1AD,ZET1,A,dry,,
ZET1BD,ZET1,B,dry,,
ZET2AD,ZET2,A,dry,,
ZET2BD,ZET2,B,dry,,
