sampleID,site,day,slope,vegetation,moonlight,location
BLANK_IonCode_0194,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl
BLANK_IonCode_0195,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl
BLANK_IonCode_0196,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl
BLANK_IonCode_0294,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl
BLANK_IonCode_0295,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl
BLANK_IonCode_0296,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl
BLANK_IonCode_0394,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl
BLANK_IonCode_0395,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl,Neg_ctrl
CBGMB00486 A01_PNGMBSI1,Kausi,A,flat,secondary,half,road
CBGMB00486 A03_PNGMBSI1_Rep3,Kausi,A,flat,secondary,half,road
CBGMB00486 A04_PNGMBSI2,Kausi,B,flat,secondary,dark,forest
CBGMB00486 A05_PNGMBSI2_Rep2,Kausi,B,flat,secondary,dark,forest
CBGMB00486 A06_PNGMBSI2_Rep3,Kausi,B,flat,secondary,dark,forest
CBGMB00486 A07_PNGMBSI3,Kausi,C,steep,secondary,dark,track
CBGMB00486 A08_PNGMBSI3_Rep2,Kausi,C,steep,secondary,dark,track
CBGMB00486 A09_PNGMBSI3_Rep3,Kausi,C,steep,secondary,dark,track
CBGMB00486 A10_PNGMBSI4,Kausi,D,flat,primary,dark,road
CBGMB00486 A11_PNGMBSI4_Rep2,Kausi,D,flat,primary,dark,road
CBGMB00486 A12_PNGMBSI4_Rep3,Kausi,D,flat,primary,dark,road
CBGMB00486 B01_PNGMBSI5,Kausi,E,flat,secondary,dark,garden
CBGMB00486 B02_PNGMBSI5_Rep2,Kausi,E,flat,secondary,dark,garden
CBGMB00486 B03_PNGMBSI5_Rep3,Kausi,E,flat,secondary,dark,garden
