"","OTU","Phylum","Class","Order","Family","Subfamily","Genus","Species","Taxon Similarity","Sequences","Dereplicates","PreClusters","Dereplication Reduction (%)","Preclustering Reduction (%)","Length","GC Composition","MID","name"
"1","OTU1",NA,NA,NA,NA,NA,NA,NA,0,214,3,1,98.6,66.67,119.85,22.58,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"2","OTU2",NA,NA,NA,NA,NA,NA,NA,0,60,2,1,96.67,50,123.85,23.42,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"3","OTU3",NA,NA,NA,NA,NA,NA,NA,0,51,3,1,94.12,66.67,108.9,27.64,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"4","OTU4","Arthropoda","Insecta","Diptera",NA,NA,NA,NA,96.25,49,2,2,95.92,0,457.9,39.53,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"5","OTU5","Arthropoda","Insecta","Lepidoptera","Notodontidae","Heterocampinae","Disphragis","Disphragis exarmata",91.06,35,1,1,97.14,0,139,30.94,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"6","OTU6",NA,NA,NA,NA,NA,NA,NA,0,26,3,1,88.46,66.67,457.77,32.93,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"7","OTU7",NA,NA,NA,NA,NA,NA,NA,0,19,2,1,89.47,50,457.63,33.87,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"8","OTU8",NA,NA,NA,NA,NA,NA,NA,0,16,2,1,87.5,50,192.56,37.91,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"9","OTU9","Arthropoda","Insecta","Lepidoptera","Depressariidae",NA,NA,NA,95.18,13,2,2,84.62,0,458,34.62,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"10","OTU10","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Macronematinae","Leptonema","Leptonema sp. gmycC51",97.81,12,1,1,91.67,0,458,38.65,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"11","OTU11",NA,NA,NA,NA,NA,NA,NA,0,11,2,1,81.82,50,216.55,36.48,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"12","OTU12",NA,NA,NA,NA,NA,NA,NA,0,10,1,1,90,0,458,30.79,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"13","OTU13",NA,NA,NA,NA,NA,NA,NA,0,8,1,1,87.5,0,458,35.15,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
"14","OTU14",NA,NA,NA,NA,NA,NA,NA,0,5,1,1,80,0,193,36.79,0,"MBR-CYB002.DNA-LT-ARM1-MAR2021-A_Rep1)CCDB-S5-0473)CBGMB-00347.OTU (1)"
